OCR PIPELINE COMPARISON RESULTS
============================================================

Rank 1: deskew_grayscale_denoise(bilateral)_contrast
  Overall Score: 90.33%
  Character Accuracy: 92.91%
  Word Accuracy: 90.70%
  Line Accuracy: 83.33%
  Edit Distance: 12

Rank 2: grayscale_denoise(bilateral)_contrast
  Overall Score: 90.33%
  Character Accuracy: 92.91%
  Word Accuracy: 90.70%
  Line Accuracy: 83.33%
  Edit Distance: 12

Rank 3: deskew_grayscale
  Overall Score: 90.29%
  Character Accuracy: 91.43%
  Word Accuracy: 93.02%
  Line Accuracy: 83.33%
  Edit Distance: 11

Rank 4: grayscale
  Overall Score: 90.29%
  Character Accuracy: 91.43%
  Word Accuracy: 93.02%
  Line Accuracy: 83.33%
  Edit Distance: 11

Rank 5: deskew_grayscale_contrast_binarize(adaptive)
  Overall Score: 87.63%
  Character Accuracy: 91.95%
  Word Accuracy: 90.70%
  Line Accuracy: 72.22%
  Edit Distance: 12

Rank 6: grayscale_contrast_binarize(adaptive)
  Overall Score: 87.63%
  Character Accuracy: 91.95%
  Word Accuracy: 90.70%
  Line Accuracy: 72.22%
  Edit Distance: 12

Rank 7: deskew_grayscale_contrast
  Overall Score: 87.49%
  Character Accuracy: 89.44%
  Word Accuracy: 90.70%
  Line Accuracy: 77.78%
  Edit Distance: 11

Rank 8: grayscale_contrast
  Overall Score: 87.49%
  Character Accuracy: 89.44%
  Word Accuracy: 90.70%
  Line Accuracy: 77.78%
  Edit Distance: 11

Rank 9: deskew_grayscale_binarize(otsu)
  Overall Score: 87.38%
  Character Accuracy: 89.79%
  Word Accuracy: 86.05%
  Line Accuracy: 83.33%
  Edit Distance: 16

Rank 10: grayscale_binarize(otsu)
  Overall Score: 87.38%
  Character Accuracy: 89.79%
  Word Accuracy: 86.05%
  Line Accuracy: 83.33%
  Edit Distance: 16

Rank 11: deskew_grayscale_binarize(adaptive)
  Overall Score: 87.31%
  Character Accuracy: 92.00%
  Word Accuracy: 89.53%
  Line Accuracy: 72.22%
  Edit Distance: 11

Rank 12: grayscale_binarize(adaptive)
  Overall Score: 87.31%
  Character Accuracy: 92.00%
  Word Accuracy: 89.53%
  Line Accuracy: 72.22%
  Edit Distance: 11

Rank 13: minimal
  Overall Score: 87.31%
  Character Accuracy: 92.00%
  Word Accuracy: 89.53%
  Line Accuracy: 72.22%
  Edit Distance: 11

Rank 14: deskew_grayscale_denoise(bilateral)_binarize(adaptive)
  Overall Score: 86.26%
  Character Accuracy: 92.00%
  Word Accuracy: 86.05%
  Line Accuracy: 72.22%
  Edit Distance: 14

Rank 15: grayscale_denoise(bilateral)_binarize(adaptive)
  Overall Score: 86.26%
  Character Accuracy: 92.00%
  Word Accuracy: 86.05%
  Line Accuracy: 72.22%
  Edit Distance: 14

Rank 16: deskew
  Overall Score: 85.72%
  Character Accuracy: 91.76%
  Word Accuracy: 88.37%
  Line Accuracy: 66.67%
  Edit Distance: 12

Rank 17: deskew_grayscale_denoise(bilateral)_contrast_binarize(otsu)
  Overall Score: 84.17%
  Character Accuracy: 91.44%
  Word Accuracy: 83.72%
  Line Accuracy: 66.67%
  Edit Distance: 21

Rank 18: grayscale_denoise(bilateral)_contrast_binarize(otsu)
  Overall Score: 84.17%
  Character Accuracy: 91.44%
  Word Accuracy: 83.72%
  Line Accuracy: 66.67%
  Edit Distance: 21

Rank 19: deskew_grayscale_contrast_binarize(otsu)
  Overall Score: 79.50%
  Character Accuracy: 76.96%
  Word Accuracy: 84.88%
  Line Accuracy: 77.78%
  Edit Distance: 15

Rank 20: grayscale_contrast_binarize(otsu)
  Overall Score: 79.50%
  Character Accuracy: 76.96%
  Word Accuracy: 84.88%
  Line Accuracy: 77.78%
  Edit Distance: 15

Rank 21: deskew_grayscale_denoise(bilateral)_contrast_binarize(adaptive)
  Overall Score: 74.10%
  Character Accuracy: 78.41%
  Word Accuracy: 75.58%
  Line Accuracy: 61.11%
  Edit Distance: 25

Rank 22: grayscale_denoise(bilateral)_contrast_binarize(adaptive)
  Overall Score: 74.10%
  Character Accuracy: 78.41%
  Word Accuracy: 75.58%
  Line Accuracy: 61.11%
